jahr;monat;tourismusregion;tourismusjahr;tourismushalbjahr;unterkunft_6;ankuenfte;uebernachtungen
2004;10;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;SHJ;Sonstige inkl. Camping;1035;4747
2004;10;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;SHJ;Gew. Betr. 2/1*;1295;4298
2004;10;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;SHJ;Gew. Betr. 3*;3900;12212
2004;10;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;SHJ;Gew. Betr. 5*/4*/4* S;1179;3334
2004;10;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;SHJ;Gew. FEWO;347;1309
2004;10;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;SHJ;Priv. FEWO;737;3387
2004;10;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;SHJ;Privatquartiere;692;3625
2004;10;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;SHJ;Sonstige inkl. Camping;1172;3556
2004;10;Katschberg/Lieser- und Maltatal;2003/04;SHJ;Gew. Betr. 2/1*;314;772
2004;10;Katschberg/Lieser- und Maltatal;2003/04;SHJ;Gew. Betr. 3*;694;1588
2004;10;Katschberg/Lieser- und Maltatal;2003/04;SHJ;Gew. Betr. 5*/4*/4* S;1105;5856
2004;10;Katschberg/Lieser- und Maltatal;2003/04;SHJ;Gew. FEWO;33;237
2004;10;Katschberg/Lieser- und Maltatal;2003/04;SHJ;Priv. FEWO;183;1142
2004;10;Katschberg/Lieser- und Maltatal;2003/04;SHJ;Privatquartiere;74;386
2004;10;Katschberg/Lieser- und Maltatal;2003/04;SHJ;Sonstige inkl. Camping;195;1084
2004;10;Klopeiner See – Südkärnten/Lavanttal;2003/04;SHJ;Gew. Betr. 2/1*;2074;4965
2004;10;Klopeiner See – Südkärnten/Lavanttal;2003/04;SHJ;Gew. Betr. 3*;3033;6806
2004;10;Klopeiner See – Südkärnten/Lavanttal;2003/04;SHJ;Gew. Betr. 5*/4*/4* S;3634;20472
2004;10;Klopeiner See – Südkärnten/Lavanttal;2003/04;SHJ;Gew. FEWO;721;2619
2004;10;Klopeiner See – Südkärnten/Lavanttal;2003/04;SHJ;Priv. FEWO;178;1368
2004;10;Klopeiner See – Südkärnten/Lavanttal;2003/04;SHJ;Privatquartiere;212;1143
2004;10;Klopeiner See – Südkärnten/Lavanttal;2003/04;SHJ;Sonstige inkl. Camping;403;1312
2004;10;Kärnten-Mitte;2003/04;SHJ;Gew. Betr. 2/1*;663;2156
2004;10;Kärnten-Mitte;2003/04;SHJ;Gew. Betr. 3*;2005;5003
2004;10;Kärnten-Mitte;2003/04;SHJ;Gew. Betr. 5*/4*/4* S;1890;4630
2004;10;Kärnten-Mitte;2003/04;SHJ;Gew. FEWO;60;412
2004;10;Kärnten-Mitte;2003/04;SHJ;Priv. FEWO;82;633
2004;10;Kärnten-Mitte;2003/04;SHJ;Privatquartiere;74;427
2004;10;Kärnten-Mitte;2003/04;SHJ;Sonstige inkl. Camping;549;9218
2004;10;Nassfeld – Pressegger See/Lesachtal/Weissensee;2003/04;SHJ;Gew. Betr. 2/1*;455;1835
2004;10;Nassfeld – Pressegger See/Lesachtal/Weissensee;2003/04;SHJ;Gew. Betr. 3*;2381;9873
2004;10;Nassfeld – Pressegger See/Lesachtal/Weissensee;2003/04;SHJ;Gew. Betr. 5*/4*/4* S;2545;13459
2004;10;Nassfeld – Pressegger See/Lesachtal/Weissensee;2003/04;SHJ;Gew. FEWO;159;1461
2004;10;Nassfeld – Pressegger See/Lesachtal/Weissensee;2003/04;SHJ;Priv. FEWO;354;3736
2004;10;Nassfeld – Pressegger See/Lesachtal/Weissensee;2003/04;SHJ;Privatquartiere;333;1646
2004;10;Nassfeld – Pressegger See/Lesachtal/Weissensee;2003/04;SHJ;Sonstige inkl. Camping;529;2516
2004;10;Region Klagenfurt;2003/04;SHJ;Gew. Betr. 2/1*;926;2044
2004;10;Region Klagenfurt;2003/04;SHJ;Gew. Betr. 3*;4918;8246
2004;10;Region Klagenfurt;2003/04;SHJ;Gew. Betr. 5*/4*/4* S;5302;8283
2004;10;Region Klagenfurt;2003/04;SHJ;Priv. FEWO;43;221
2004;10;Region Klagenfurt;2003/04;SHJ;Privatquartiere;122;309
2004;10;Region Klagenfurt;2003/04;SHJ;Sonstige inkl. Camping;978;2210
2004;10;Region Villach;2003/04;SHJ;Gew. Betr. 2/1*;931;3500
2004;10;Region Villach;2003/04;SHJ;Gew. Betr. 3*;5491;12836
2004;10;Region Villach;2003/04;SHJ;Gew. Betr. 5*/4*/4* S;8189;26333
2004;10;Region Villach;2003/04;SHJ;Gew. FEWO;2220;9522
2004;10;Region Villach;2003/04;SHJ;Priv. FEWO;339;3683
2004;10;Region Villach;2003/04;SHJ;Privatquartiere;304;1398
