Jahr;Tourismushalbjahr;Tourismusregion;Unterkunft;Art;Anzahl
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Sonstige Fremdenunterkunft;Betriebe;35
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Sonstige Fremdenunterkunft;Betten;381
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Sonstige Fremdenunterkunft;Zimmer;0
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Sonstige Fremdenunterkunft;Zusatzbetten;42
1998;Sommer;Kärnten-Mitte;Bewirtschaftete Schutzhütten;Betriebe;3
1998;Sommer;Kärnten-Mitte;Bewirtschaftete Schutzhütten;Betten;28
1998;Sommer;Kärnten-Mitte;Bewirtschaftete Schutzhütten;Zimmer;0
1998;Sommer;Kärnten-Mitte;Bewirtschaftete Schutzhütten;Zusatzbetten;13
1998;Sommer;Kärnten-Mitte;Campingplatz;Betriebe;3
1998;Sommer;Kärnten-Mitte;Campingplatz;Betten;692
1998;Sommer;Kärnten-Mitte;Campingplatz;Zimmer;0
1998;Sommer;Kärnten-Mitte;Campingplatz;Zusatzbetten;0
1998;Sommer;Kärnten-Mitte;Ferienwohnung (priv.) auf Bauernhof;Betriebe;93
1998;Sommer;Kärnten-Mitte;Ferienwohnung (priv.) auf Bauernhof;Betten;678
1998;Sommer;Kärnten-Mitte;Ferienwohnung (priv.) auf Bauernhof;Zimmer;0
1998;Sommer;Kärnten-Mitte;Ferienwohnung (priv.) auf Bauernhof;Zusatzbetten;47
1998;Sommer;Kärnten-Mitte;Ferienwohnung (priv.) n. auf Bauernhof;Betriebe;247
1998;Sommer;Kärnten-Mitte;Ferienwohnung (priv.) n. auf Bauernhof;Betten;1360
1998;Sommer;Kärnten-Mitte;Ferienwohnung (priv.) n. auf Bauernhof;Zimmer;0
1998;Sommer;Kärnten-Mitte;Ferienwohnung (priv.) n. auf Bauernhof;Zusatzbetten;161
1998;Sommer;Kärnten-Mitte;Gewerbl. Beherb.betriebe 2 bzw. 1*;Betriebe;85
1998;Sommer;Kärnten-Mitte;Gewerbl. Beherb.betriebe 2 bzw. 1*;Betten;1375
1998;Sommer;Kärnten-Mitte;Gewerbl. Beherb.betriebe 2 bzw. 1*;Zimmer;657
1998;Sommer;Kärnten-Mitte;Gewerbl. Beherb.betriebe 2 bzw. 1*;Zusatzbetten;35
1998;Sommer;Kärnten-Mitte;Gewerbl. Beherb.betriebe 3 *;Betriebe;45
1998;Sommer;Kärnten-Mitte;Gewerbl. Beherb.betriebe 3 *;Betten;1320
1998;Sommer;Kärnten-Mitte;Gewerbl. Beherb.betriebe 3 *;Zimmer;600
1998;Sommer;Kärnten-Mitte;Gewerbl. Beherb.betriebe 3 *;Zusatzbetten;18
1998;Sommer;Kärnten-Mitte;Gewerbl. Beherb.betriebe 5*/4*/4* Superior;Betriebe;11
1998;Sommer;Kärnten-Mitte;Gewerbl. Beherb.betriebe 5*/4*/4* Superior;Betten;667
1998;Sommer;Kärnten-Mitte;Gewerbl. Beherb.betriebe 5*/4*/4* Superior;Zimmer;324
1998;Sommer;Kärnten-Mitte;Gewerbl. Beherb.betriebe 5*/4*/4* Superior;Zusatzbetten;38
1998;Sommer;Kärnten-Mitte;Gewerbl. Ferienwohnung bzw. -haus;Betriebe;12
1998;Sommer;Kärnten-Mitte;Gewerbl. Ferienwohnung bzw. -haus;Betten;195
1998;Sommer;Kärnten-Mitte;Gewerbl. Ferienwohnung bzw. -haus;Zimmer;66
1998;Sommer;Kärnten-Mitte;Gewerbl. Ferienwohnung bzw. -haus;Zusatzbetten;11
1998;Sommer;Kärnten-Mitte;Jugendherbergen u. -gästehäuser;Betriebe;0
1998;Sommer;Kärnten-Mitte;Jugendherbergen u. -gästehäuser;Betten;0
1998;Sommer;Kärnten-Mitte;Jugendherbergen u. -gästehäuser;Zimmer;0
1998;Sommer;Kärnten-Mitte;Jugendherbergen u. -gästehäuser;Zusatzbetten;0
1998;Sommer;Kärnten-Mitte;Kinder- u. Jugenderholungsheime;Betriebe;0
1998;Sommer;Kärnten-Mitte;Kinder- u. Jugenderholungsheime;Betten;0
1998;Sommer;Kärnten-Mitte;Kinder- u. Jugenderholungsheime;Zimmer;0
1998;Sommer;Kärnten-Mitte;Kinder- u. Jugenderholungsheime;Zusatzbetten;0
1998;Sommer;Kärnten-Mitte;Kurheim der Sozialversich.träger;Betriebe;1
1998;Sommer;Kärnten-Mitte;Kurheim der Sozialversich.träger;Betten;438
1998;Sommer;Kärnten-Mitte;Kurheim der Sozialversich.träger;Zimmer;0
1998;Sommer;Kärnten-Mitte;Kurheim der Sozialversich.träger;Zusatzbetten;0
1998;Sommer;Kärnten-Mitte;Private u. öffentl. Kurheime;Betriebe;1
1998;Sommer;Kärnten-Mitte;Private u. öffentl. Kurheime;Betten;25
1998;Sommer;Kärnten-Mitte;Private u. öffentl. Kurheime;Zimmer;0
1998;Sommer;Kärnten-Mitte;Private u. öffentl. Kurheime;Zusatzbetten;1
1998;Sommer;Kärnten-Mitte;Privatquartiere auf Bauernhof;Betriebe;118
1998;Sommer;Kärnten-Mitte;Privatquartiere auf Bauernhof;Betten;883
1998;Sommer;Kärnten-Mitte;Privatquartiere auf Bauernhof;Zimmer;0
1998;Sommer;Kärnten-Mitte;Privatquartiere auf Bauernhof;Zusatzbetten;38
1998;Sommer;Kärnten-Mitte;Privatquartiere nicht auf Bauernhof;Betriebe;107
1998;Sommer;Kärnten-Mitte;Privatquartiere nicht auf Bauernhof;Betten;604
1998;Sommer;Kärnten-Mitte;Privatquartiere nicht auf Bauernhof;Zimmer;0
1998;Sommer;Kärnten-Mitte;Privatquartiere nicht auf Bauernhof;Zusatzbetten;56
1998;Sommer;Kärnten-Mitte;Sonstige Fremdenunterkunft;Betriebe;15
1998;Sommer;Kärnten-Mitte;Sonstige Fremdenunterkunft;Betten;198
1998;Sommer;Kärnten-Mitte;Sonstige Fremdenunterkunft;Zimmer;0
1998;Sommer;Kärnten-Mitte;Sonstige Fremdenunterkunft;Zusatzbetten;216
1998;Sommer;Katschberg/Lieser- und Maltatal;Bewirtschaftete Schutzhütten;Betriebe;6
1998;Sommer;Katschberg/Lieser- und Maltatal;Bewirtschaftete Schutzhütten;Betten;130
1998;Sommer;Katschberg/Lieser- und Maltatal;Bewirtschaftete Schutzhütten;Zimmer;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Bewirtschaftete Schutzhütten;Zusatzbetten;163
1998;Sommer;Katschberg/Lieser- und Maltatal;Campingplatz;Betriebe;4
1998;Sommer;Katschberg/Lieser- und Maltatal;Campingplatz;Betten;1508
1998;Sommer;Katschberg/Lieser- und Maltatal;Campingplatz;Zimmer;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Campingplatz;Zusatzbetten;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Ferienwohnung (priv.) auf Bauernhof;Betriebe;32
1998;Sommer;Katschberg/Lieser- und Maltatal;Ferienwohnung (priv.) auf Bauernhof;Betten;243
1998;Sommer;Katschberg/Lieser- und Maltatal;Ferienwohnung (priv.) auf Bauernhof;Zimmer;0
1998;Sommer;Katschberg/Lieser- und Maltatal;Ferienwohnung (priv.) auf Bauernhof;Zusatzbetten;23
1998;Sommer;Katschberg/Lieser- und Maltatal;Ferienwohnung (priv.) n. auf Bauernhof;Betriebe;154
1998;Sommer;Katschberg/Lieser- und Maltatal;Ferienwohnung (priv.) n. auf Bauernhof;Betten;932
